user_id,item_id,quantity
0,1,48.0
0,3,44.4
0,20,44.7
0,35,13.6
0,38,33.6
0,42,2.5
0,48,48.1
0,50,33.8
0,57,92.7
0,58,92.7
0,63,33.5
0,68,33.8
0,72,13.7
0,78,14.0
0,85,44.2
0,90,2.7
0,96,2.5
1,6,47.5
1,9,4.0
1,11,74.5
1,14,83.5
1,18,6.9
1,24,83.4
1,26,47.7
1,45,4.1
1,54,74.7
1,57,18.2
1,58,17.9
1,79,74.9
1,86,6.8
1,94,75.3
2,7,43.0
2,8,36.6
2,14,14.4
2,21,17.9
2,22,18.0
2,24,13.9
2,27,56.6
2,29,38.3
2,34,36.4
2,36,44.5
2,37,45.0
2,40,56.3
2,42,3.4
2,53,36.9
2,56,44.6
2,61,44.9
2,62,43.2
2,64,56.3
2,69,45.3
2,74,43.3
2,76,44.5
2,80,44.8
2,90,3.7
2,95,43.3
2,96,3.3
2,98,38.7
3,14,61.5
3,24,61.9
3,31,11.1
3,36,37.3
3,47,11.2
3,52,25.3
3,59,25.6
3,73,11.2
3,76,37.1
3,80,37.5
4,1,66.1
4,8,48.8
4,12,57.4
4,14,21.8
4,24,21.7
4,31,86.4
4,34,48.3
4,38,90.6
4,43,57.5
4,47,86.3
4,48,66.3
4,51,98.4
4,53,48.6
4,57,25.0
4,58,25.1
4,63,90.7
4,71,57.3
4,73,86.6
4,77,98.3
5,3,92.2
5,4,84.0
5,6,36.9
5,16,85.9
5,19,86.1
5,20,91.9
5,21,13.0
5,22,13.1
5,26,36.5
5,27,39.0
5,31,49.9
5,40,38.6
5,46,84.4
5,47,49.7
5,60,83.5
5,64,38.6
5,66,86.3
5,70,88.7
5,73,50.0
5,85,92.1
5,92,89.0
7,27,3.5
7,37,39.4
7,40,3.8
7,50,8.4
7,56,39.2
7,61,39.7
7,64,3.2
7,68,8.5
7,69,39.9
7,79,31.7
7,94,31.2
8,13,21.6
8,28,54.4
8,30,54.0
8,52,9.1
8,59,8.9
8,82,22.0
9,9,75.2
9,12,16.3
9,17,37.6
9,25,37.7
9,27,49.4
9,29,26.8
9,37,7.1
9,39,37.9
9,40,49.0
9,43,16.3
9,44,37.3
9,45,75.6
9,51,73.8
9,56,6.8
9,61,6.6
9,64,49.5
9,69,7.0
9,71,16.3
9,77,73.8
9,98,26.3
10,4,38.6
10,21,52.8
10,22,53.0
10,46,38.3
10,60,38.7
11,13,76.1
11,82,75.9
12,28,47.1
12,30,47.3
12,37,36.6
12,42,45.0
12,56,36.1
12,61,36.9
12,69,37.1
12,90,45.1
12,96,45.2
14,10,25.9
14,12,37.9
14,31,81.3
14,38,90.1
14,43,37.7
14,47,81.6
14,63,90.0
14,71,38.2
14,73,81.2
14,97,25.4
15,13,57.6
15,17,73.3
15,21,8.4
15,22,8.3
15,25,72.9
15,29,18.2
15,37,66.7
15,39,73.7
15,44,73.3
15,56,66.7
15,57,32.2
15,58,31.8
15,61,66.3
15,69,66.7
15,82,57.3
15,98,18.0
16,37,32.2
16,50,62.1
16,52,38.4
16,56,31.9
16,59,38.8
16,61,31.8
16,68,62.5
16,69,32.2
17,8,82.8
